what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201403100950,"org.eclipse.rse.subsystems.shells.local",1492732583182
started,bundle,org.eclipse.rse.ui,3.3.300.201610252046,"org.eclipse.rse.ui",1492732583182
started,bundle,org.eclipse.team.core,3.8.0.v20160418-1534,"org.eclipse.team.core",1492732583182
started,bundle,org.eclipse.team.ui,3.8.0.v20160518-1906,"org.eclipse.team.ui",1492732583182
started,bundle,org.eclipse.tm.terminal.view.ui,4.2.0.201609191434,"org.eclipse.tm.terminal.view.ui",1492732583182
started,bundle,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui",1492732583197
started,bundle,org.eclipse.ui.console,3.6.201.v20161107-0337,"org.eclipse.ui.console",1492732583197
started,bundle,org.eclipse.ui.editors,3.10.1.v20161106-1856,"org.eclipse.ui.editors",1492732583197
started,bundle,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.ide",1492732583197
started,bundle,org.eclipse.ui.ide.application,1.1.101.v20160829-0827,"org.eclipse.ui.ide.application",1492732583197
started,bundle,org.eclipse.ui.intro,3.5.2.v20161116-1147,"org.eclipse.ui.intro",1492732583197
started,bundle,org.eclipse.ui.intro.quicklinks,1.0.0.v20160515-0255,"org.eclipse.ui.intro.quicklinks",1492732583197
started,bundle,org.eclipse.ui.intro.universal,3.3.1.v20160829-1558,"org.eclipse.ui.intro.universal",1492732583197
started,bundle,org.eclipse.ui.monitoring,1.1.1.v20161028-1850,"org.eclipse.ui.monitoring",1492732583197
started,bundle,org.eclipse.ui.navigator,3.6.101.v20161006-1120,"org.eclipse.ui.navigator",1492732583197
started,bundle,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.resources",1492732583197
started,bundle,org.eclipse.ui.net,1.3.0.v20160426-1633,"org.eclipse.ui.net",1492732583197
started,bundle,org.eclipse.ui.themes,1.1.300.v20161107-1827,"org.eclipse.ui.themes",1492732583197
started,bundle,org.eclipse.ui.trace,1.0.400.v20160509-1055,"org.eclipse.ui.trace",1492732583197
started,bundle,org.eclipse.ui.views.log,1.2.1.v20160829-0826,"org.eclipse.ui.views.log",1492732583197
started,bundle,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"org.eclipse.ui.workbench",1492732583197
started,bundle,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.workbench.texteditor",1492732583197
started,bundle,org.eclipse.update.configurator,3.3.400.v20160506-0750,"org.eclipse.update.configurator",1492732583197
started,bundle,org.eclipse.userstorage,1.0.0.v20160524-0709,"org.eclipse.userstorage",1492732583213
started,bundle,org.eclipse.userstorage.ui,1.0.0.v20151216-0912,"org.eclipse.userstorage.ui",1492732583213
started,bundle,org.eclipse.wst.common.emf,1.2.400.v201505132009,"org.eclipse.wst.common.emf",1492732583213
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107081800,"org.eclipse.wst.common.emfworkbench.integration",1492732583213
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1492732583213
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1492732583213
started,bundle,org.eclipse.wst.web,1.1.800.v201312041437,"org.eclipse.wst.web",1492732583213
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1492732583213
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1492732583213
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1492732583213
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1492732583213
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1492732583213
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1492732583213
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1492732583213
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1492732583229
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1492732583229
os,sysinfo,,,"win32",1492732583244
arch,sysinfo,,,"x86_64",1492732583244
ws,sysinfo,,,"win32",1492732583244
locale,sysinfo,,,"pt_BR",1492732583244
processors,sysinfo,,,"4",1492732583244
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1492732583244
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1492732583244
java.specification.name,sysinfo,,,"Java Platform API Specification",1492732583244
java.specification.vendor,sysinfo,,,"Oracle Corporation",1492732583244
java.specification.version,sysinfo,,,"1.8",1492732583244
java.vendor,sysinfo,,,"Oracle Corporation",1492732583244
java.version,sysinfo,,,"1.8.0_102",1492732583244
java.vm.info,sysinfo,,,"mixed mode",1492732583244
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1492732583244
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1492732583244
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1492732583244
java.vm.specification.version,sysinfo,,,"1.8",1492732583244
java.vm.vendor,sysinfo,,,"Oracle Corporation",1492732583244
java.vm.version,sysinfo,,,"25.102-b14",1492732583244
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732585166
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732612058
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.import",1492732612073
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732615573
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732629576
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.e4.ui.importer.openDirectory",1492732629607
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732629623
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732630185
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732640233
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732655719
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.e4.ui.importer.openDirectory",1492732655750
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732655750
started,bundle,org.eclipse.jst.jee.ui,1.0.701.v201408251535,"org.eclipse.jst.jee.ui",1492732656094
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.600.v201302011850,"org.eclipse.jst.j2ee.navigator.ui",1492732656109
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908251833,"org.eclipse.wst.common.core",1492732656281
started,bundle,org.eclipse.wst.common.modulecore,1.2.401.v201408132036,"org.eclipse.wst.common.modulecore",1492732656297
started,bundle,org.eclipse.jst.j2ee.core,1.3.200.v201505041449,"org.eclipse.jst.j2ee.core",1492732656344
started,bundle,org.eclipse.jem,2.0.600.v201302011850,"org.eclipse.jem",1492732656422
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.400.v201504292002,"org.eclipse.wst.common.frameworks.ui",1492732656547
started,bundle,org.eclipse.wst.xml.core,1.1.1000.v201605120036,"org.eclipse.wst.xml.core",1492732656594
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1492732656672
started,bundle,org.eclipse.jst.j2ee,1.1.900.v201607282038,"org.eclipse.jst.j2ee",1492732657000
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.500.v201508121553,"org.eclipse.jst.common.project.facet.core",1492732657391
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.600.v201505131719,"org.eclipse.jst.ws.jaxrs.core",1492732657750
started,bundle,org.eclipse.jdt.junit.core,3.8.0.v20160421-1701,"org.eclipse.jdt.junit.core",1492732660592
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.200.v20160504-1450,"org.eclipse.equinox.simpleconfigurator.manipulator",1492732662139
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.300.v20160504-1450,"org.eclipse.equinox.frameworkadmin",1492732662748
started,bundle,org.eclipse.wst.jsdt.core,2.0.0.v201608251059,"org.eclipse.wst.jsdt.core",1492732663436
started,bundle,org.eclipse.wst.server.core,1.8.100.v201605201456,"org.eclipse.wst.server.core",1492732663498
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732663670
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732668248
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1492732671217
error,log,,,"Problem writing to Z:/3_4_ano/ESTD/exer1bim/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/system.js",1492732672577
error,log,,,"Problem writing to Z:/3_4_ano/ESTD/exer1bim/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/baseBrowserLibrary.js",1492732672639
error,log,,,"Problem writing to Z:/3_4_ano/ESTD/exer1bim/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/browserWindow.js",1492732672670
